,infinitive,past,edit_distance
11,jemmy,jemmied,3
12,unify,unified,3
13,decry,decried,3
14,freezedry,freezedried,3
15,classify,classified,3
16,vary,varied,3
17,glorify,glorified,3
18,simplify,simplified,3
19,dummy,dummied,3
20,busy,busied,3
255,honey,honied,2
381,chivy,chivvied,4
