,infinitive,past,edit_distance
22,traffic,trafficked,3
23,mimic,mimicked,3
24,frolic,frolicked,3
25,havoc,havocked,3
26,talc,talcked,3
27,bivouac,bivouacked,3
28,physic,physicked,3
29,shellac,shellacked,3
30,tarmac,tarmacked,3
31,picnic,picnicked,3
