typeset,typeset.typeset
shoe,shod.shod
got,got.gotten
beseech,besought.besought
remake,remade.remade
clepe,yclept.yclept
wake,woke.woken
weave,wove.woven
forgo,forwent.forgone
grip,gript.gript
forget,forgot.forgotten
rebound,rebound.rebound
fall,fell.fallen
underwrite,underwrote.underwritten
overlie,overlay.overlain
abye,abought.abought
upcast,upcast.upcast
spotlight,spotlit.spotlit
flyblow,flyblew.flyblown
interbreed,interbred.interbred
mislead,misled.misled
unswear,unswore.unsworn
wiredraw,wiredrew.wiredrawn
recast,recast.recast
plead,pled.pled
build,built.built
found,found.found
override,overrode.overridden
misgive,misgave.misgiven
degustate,degusted.degusted
withdraw,withdrew.withdrawn
spend,spent.spent
cut,cut.cut
misdeal,misdealt.misdealt
bid,bid.bidden
retake,retook.retaken
pen,pent.penned
overfeed,overfed.overfed
lend,lent.lent
ride,rode.ridden
undergo,underwent.undergone
roughhew,roughhewn.roughhewn
sink,sunk.sunken
overbear,overbore.overborne
bound,bound.bound
testdrive,testdrove.testdriven
outbid,outbid.outbidden
spell,spelt.spelt
strive,strove.striven
overshoot,overshot.overshot
unmake,unmade.unmade
hem,hummed.hemmed
forspeak,forspoke.forspoken
have,had.had
floodlight,floodlit.floodlit
outstand,outstood.outstood
outwear,outwore.outworn
beat,beat.beaten
plait,plated.plaited
slide,slid.slidden
miscast,miscast.miscast
buy,bought.bought
sleep,slept.slept
rise,rose.risen
overdo,overdid.overdone
intercut,intercut.intercut
hide,hid.hidden
foreknow,foreknew.foreknown
stink,stun.stunk
shoot,shot.shot
stride,strode.strode
outshine,outshone.outshone
thrust,thrust.thrust
disorientate,disoriented.disoriented
underbid,underbid.underbidden
bethink,bethought.bethought
overdraw,overdrew.overdrawn
bename,benempt.benempt
overeat,overate.overeaten
oversell,oversold.oversold
bestride,bestrode.bestrode
wear,wore.worn
catch,caught.caught
forerun,foreran.forerun
escape,scaped.scaped
heat,het.het
overbid,overbid.overbidden
withhold,withheld.withheld
rethink,rethought.rethought
outride,outrode.outridden
unfreeze,unfroze.unfrozen
rend,rent.rent
partake,partook.partaken
come,came.come
cast,cast.cast
weep,wept.wept
blow,blew.blown
backbite,backbit.backbitten
shrink,shrunk.shrunken
tread,trod.trodden
chivy,chivvied.chivvied
stand,stood.stood
unbend,unbent.unbent
overblow,overblew.overblown
begird,begirt.begirt
precast,precast.precast
backslide,backslidden.backslidden
stick,stuck.stuck
arise,arose.arisen
number,numbed.numbed
forgive,forgave.forgiven
teach,taught.taught
feel,felt.felt
buffer,buffed.buffed
hit,hit.hit
pinchhit,pinchhit.pinchhit
oversee,oversaw.overseen
sweep,swept.swept
uppercut,uppercut.uppercut
shend,shent.shent
roughcast,roughcast.roughcast
deepfreeze,deepfrozen.deepfrozen
faceoff,facedoff.facedoff
sightsee,sightsaw.sightseen
overwind,overwound.overwound
uphold,upheld.upheld
ghostwrite,ghostwrote.ghostwritten
sandcast,sandcast.sandcast
foretell,foretold.foretold
coverup,coveredup.coveredup
outdo,outdid.outdone
forbid,forbade.forbidden
redo,redid.redone
taws,tawed.tawed
sit,sat.sat
light,lit.lit
write,wrote.written
choose,chose.chosen
flee,fled.fled
overtake,overtook.overtaken
quickfreeze,quickfroze.quickfrozen
betake,betook.betaken
outsell,outsold.outsold
spoil,spoilt.spoilt
outshoot,outshot.outshot
outgrow,outgrew.outgrown
know,knew.known
lead,led.led
lean,leant.leant
leap,leapt.leapt
foredo,foredid.foredone
swear,swore.sworn
understand,understood.understood
